prediction,theta_mean,alpha_mean,beta_mean,tbr_mean,tbr_min,tbr_max,bar_mean,bar_min,bar_max,outlier_features_p01_p99,outlier_features_p05_p95
1,5268261.301320298,640117.9020536514,469121.0438921906,5.1514379185684644,1.0706946319462611,20.22068716553876,1.4468905462893744,0.4799704296865518,2.0630707092854097,10,13
1,6239218.538605328,939613.47589261,685687.264521045,4.918075430566075,0.8570550007657476,12.80156082897062,1.440763582548702,0.533414447610525,3.1958575842249943,12,16
1,3979854.994069234,466854.735436313,366237.75208004314,5.392225351998862,0.528909092768746,26.370180723117613,1.1546038344592104,0.42981841350937017,2.908167524878379,10,14
1,21728773.65055917,1100913.0367775962,838426.470654003,10.924363618181102,2.303984783098033,41.80654756650944,1.4213004449194084,0.5669237591349408,2.453882309560421,13,15
1,2431497.3188178665,578554.1606421826,721247.4966263848,3.054089468532619,0.23391599111590472,8.74251537423178,2.1364033858791283,0.7299063088457335,8.445620883995232,11,14
1,12120478.872565253,2736965.2748317784,1320593.0294031692,6.18232612032713,1.2444420088884856,12.724908432055898,0.8484802219533609,0.40749266341763896,1.5534909943238147,15,15
1,34488422.734611,3038898.7357044346,1423744.683873461,16.331841773978383,4.318177064455151,32.509992367519445,0.8059974050489614,0.3299143272557634,1.5686942054309359,17,18
1,8204455.292411775,1498872.7743764152,670479.4485842239,12.238724034034039,0.9482950638238966,38.0126753173297,1.0714793763149868,0.20947985846916437,2.6008890618193092,15,17
1,4101740.5394407124,494992.68651492626,352900.0968327051,6.7507476732552245,0.3963549634659882,23.510939878004237,1.098408747239681,0.42730061993120483,2.3922598322713458,13,15
1,3932111.458261162,976283.7499845292,624326.6448769972,3.3398608455041163,0.5460761925875758,12.528592029085932,1.1583685635329573,0.41369973352248707,2.780948123681985,9,13
1,10232619.625175102,505442.3978902032,423998.99297397333,8.074660199083251,1.6724579439337457,48.549254793723996,1.3503014882378193,0.5675251696479336,2.9046528438038246,13,15
1,7387734.699476192,798218.5005973093,601503.3423467122,9.864499858811834,1.4617569638243144,37.66345805900214,0.9225159739621305,0.13883843543918428,2.7368189105702694,15,16
1,3757821.9587077275,585735.93956347,522716.16264127666,4.179731122142655,0.7423657410300575,12.83906553976954,1.381386218688569,0.6080447411473039,2.0372142466503234,9,12
1,8258891.179793504,585412.9865997697,490392.7673038299,13.839206462148649,1.4149400517161534,38.4010338446907,0.9949805238931301,0.3273672298284022,2.1411828372550725,13,16
1,3678126.3977673114,736568.2818068421,587648.1487056112,4.286436627702813,0.8874975846632014,10.36010284184469,1.5636927055840633,0.4093991650718937,3.0275802105336265,10,12
1,8256131.042441077,1029984.8520814119,709508.1089307062,5.630190816153883,0.1546315768939961,20.551595486492555,1.027533604466502,0.4514417768977936,2.6664109345329465,10,16
1,20272326.842351276,774227.6523517492,493624.4520773306,21.27615307957573,0.8813612266947862,85.00012055493605,0.7547376018438486,0.27688856777691095,2.293179431863902,14,20
1,5288448.32412368,918550.5990783488,565176.6773363225,8.357010317116195,0.7200901923394122,35.47332803786392,1.1208953391827385,0.35939822547252315,3.0719234744170674,14,19
1,16999247.101435743,857396.0380649874,446898.73357650626,17.893142332918885,1.080600126005085,130.85704414392038,1.0995673812089997,0.19937498099691967,2.7799001229462834,15,15
1,6738435.398449537,1243847.4267594721,830088.0002390364,4.606366993887373,0.6231474022361473,11.827845961369281,1.0745504445378882,0.5036304980917493,2.522274162005314,11,15
